,langs,project,cdli_id,collection,credits,date_of_origin,designation,display_name,dynastic_seat,exemplars,genre,id_composite,language,material,object_type,period,pleiades_id,popular_name,primary_publication,provenience,pleiades_coord,ruler,script,script_remarks,script_type,subgenre,supergenre,trans,id_text,seal_id,attribution
Q003828,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-22, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003828/.",668-ca. 631,Ashurbanipal 129,RINAP 5 Asb. 129,Assyria,K 04687,Royal Inscription,Q003828,Akkadian,clay,tablet,Neo-Assyrian,874621,K 04687,Ashurbanipal 129,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,
Q003829,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-22, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003829/.",668-ca. 631,Ashurbanipal 130,RINAP 5 Asb. 130,Assyria,Sm 0252,Royal Inscription,Q003829,Akkadian,clay,tablet,Neo-Assyrian,874621,Sm 0252,Ashurbanipal 130,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,
Q003830,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003830/.",668-ca. 631,Ashurbanipal 1001,RINAP 5 Asb. 1001,Assyria,Sm 1937,Royal Inscription,Q003830,Akkadian,clay,tablet,Neo-Assyrian,874621,Sm 1937,Ashurbanipal 1001,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003831,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003831/.",668-ca. 631,Ashurbanipal 1002,RINAP 5 Asb. 1002,Assyria,K 09155,Royal Inscription,Q003831,Akkadian,clay,tablet,Neo-Assyrian,874621,K 09155,Ashurbanipal 1002,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003832,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003832/.",668-ca. 631,Ashurbanipal 1003,RINAP 5 Asb. 1003,Assyria,K 06371,Royal Inscription,Q003832,Akkadian,clay,tablet,Neo-Assyrian,874621,K 06371,Ashurbanipal 1003,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003833,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003833/.",668-ca. 631,Ashurbanipal 1004,RINAP 5 Asb. 1004,Assyria,"1882-03-23, 0125",Royal Inscription,Q003833,Akkadian,clay,tablet,Neo-Assyrian,874621,"1882-03-23, 0125",Ashurbanipal 1004,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003834,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003834/.",668-ca. 631,Ashurbanipal 1005,RINAP 5 Asb. 1005,Assyria,K 14127,Royal Inscription,Q003834,Akkadian,clay,tablet,Neo-Assyrian,874621,K 14127,Ashurbanipal 1005,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003835,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003835/.",668-ca. 631,Ashurbanipal 1006,RINAP 5 Asb. 1006,Assyria,"1881-02-04, 0286",Royal Inscription,Q003835,Akkadian,clay,tablet,Neo-Assyrian,874621,"1881-02-04, 0286",Ashurbanipal 1006,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003836,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003836/.",668-ca. 631,Ashurbanipal 1007,RINAP 5 Asb. 1007,Assyria,K 04496,Royal Inscription,Q003836,Akkadian,clay,tablet,Neo-Assyrian,874621,K 04496,Ashurbanipal 1007,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003837,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003837/.",668-ca. 631,Ashurbanipal 1008,RINAP 5 Asb. 1008,Assyria,K 16776,Royal Inscription,Q003837,Akkadian,clay,tablet,Neo-Assyrian,874621,K 16776,Ashurbanipal 1008,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003838,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003838/.",668-ca. 631,Ashurbanipal 1009,RINAP 5 Asb. 1009,Assyria,K 19448,Royal Inscription,Q003838,Akkadian,clay,tablet,Neo-Assyrian,874621,K 19448,Ashurbanipal 1009,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003839,0x08000000,rinap/rinap5,,"British Museum, London, UK","Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003839/.",668-ca. 631,Ashurbanipal 1010,RINAP 5 Asb. 1010,Assyria,K 06868 + K 09248,Royal Inscription,Q003839,Akkadian,clay,tablet,Neo-Assyrian,874621,K 06868 + K 09248,Ashurbanipal 1010,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003840,0x08000000,rinap/rinap5,,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003840/.",668-ca. 631,Ashurbanipal 2001,RINAP 5 Asb. 2001,Assyria,Ass 15756,Royal Inscription,Q003840,Akkadian,clay,stele,Neo-Assyrian,893945,Ass 15756,Ashurbanipal 2001,Qalat Sherqat (Assur),"[43.262037,35.458121]",Ashurbanipal,Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003841,0x08000000,rinap/rinap5,,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003841/.",668-ca. 631,Ashurbanipal 2002,RINAP 5 Asb. 2002,Assyria,"1883-01-18, 0332",Royal Inscription,Q003841,Akkadian,clay,tablet,Neo-Assyrian,874621,"1883-01-18, 0332",Ashurbanipal 2002,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Created by Jamie Novotny and Joshua Jeffers, 2015-22. Lemmatized by Joshua Jeffers, 2018-19, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003842,0x02000000,rinap/rinap5,,"British Museum, London, UK","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003842/.",668-ca. 631,Ashurbanipal 2003,RINAP 5 Asb. 2003,Assyria,"BM 119065 (1927-10-03, 0060; U 02674)",Royal Inscription,Q003842,Sumerian,stone,door socket,Neo-Assyrian,912985,RIMB 2 B.6.32.2001,Ashurbanipal 2003,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Archaizing  Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0."
Q003843,0x02000000,rinap/rinap5,,"British Museum, London, UK","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003843/.",668-ca. 631,Ashurbanipal 2004,RINAP 5 Asb. 2004,Assyria,"BM 116987 (1924-09-20, 0250; U 01262)",Royal Inscription,Q003843,Sumerian,clay,cone,Neo-Assyrian,912985,RIMB 2 B.6.32.2002,Ashurbanipal 2004,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0."
Q003844,0x02000000,rinap/rinap5,,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA; British Museum, London, UK","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003844/.",668-ca. 631,Ashurbanipal 2005,RINAP 5 Asb. 2005,Assyria,"BM 119021 (1927-10-03, 0016; U 03249c); BM 119023 (1927-10-03, 0018; U 03249m); BM 119024 (1927-10-03, 0019; U 03249l); U 03249i; U 03249g?; IM 001081",Royal Inscription,Q003844,Sumerian,clay,cone,Neo-Assyrian,912985,RIMB 2 B.6.32.2014,Ashurbanipal 2005,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Archaizing  Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0."
Q003845,0x08000000,rinap/rinap5,,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA; British Museum, London, UK; Iraq Museum, Baghdad, Iraq","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003845/.",668-ca. 631,Ashurbanipal 2006,RINAP 5 Asb. 2006,Assyria,"BM 124351 (1933-10-13, 0004; U 18529c); BM 124350 (1933-10-13, 0003; U 18529g?); IM 016429 (U 18529h); IM 048412 (U 18529e); IM 048413 (U 18529f); IM 048414 (U 18529b); UM 33-35-191a (U 18529a); UM 33-35-191b (U 18529d)",Royal Inscription,Q003845,Akkadian,clay,disk,Neo-Assyrian,912985,RIMB 2 B.6.32.2015,Ashurbanipal 2006,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0."
Q003846,0x08000000,rinap/rinap5,,"British Museum, London, UK","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003846/.",668-ca. 631,Ashurbanipal 2007,RINAP 5 Asb. 2007,Assyria,"BM 119014 (1927-10-03, 0009; U 02757)",Royal Inscription,Q003846,Akkadian,clay,drum-shaped object,Neo-Assyrian,912985,RIMB 2 B.6.32.2016,Ashurbanipal 2007,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0."
Q003847,0x02000000,rinap/rinap5,,"British Museum, London, UK; University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA; Iraq Museum, Baghdad, Iraq","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003847/.",668-ca. 631,Ashurbanipal 2008,RINAP 5 Asb. 2008,Assyria,"BM 114277 (1919-10-11, 4708); BM 114278 (1919-10-11, 4709); BM 137345 (1935-01-13, 0005; U 01664); BM 137349 (1935-01-13, 0009; U 03161); BM 137381 (1979-12-18, 0016); BM 137408 (1979-12-18, 0043); CBS 15337 (=? U 00152); CBS 16491; CBS 16555a; CBS 16555b; IM -; U 03136; U 07824",Royal Inscription,Q003847,Sumerian,clay,brick,Neo-Assyrian,912985,RIMB 2 B.6.32.2003,Ashurbanipal 2008,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Neo-Babylonian,"inscribed, stamped",Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003848,0x02000000,rinap/rinap5,,"British Museum, London, UK","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003848/.",668-ca. 631,Ashurbanipal 2009,RINAP 5 Asb. 2009,Assyria,"BM 119278 (1927-10-03, 0273; U 06341)",Royal Inscription,Q003848,Sumerian,clay,brick,Neo-Assyrian,912985,RIMB 2 B.6.32.2004,Ashurbanipal 2009,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Neo-Babylonian,stamped,Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003849,0x02000000,rinap/rinap5,,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.. Please cite this page as http://oracc.org/rinap/Q003849/.",668-ca. 631,Ashurbanipal 2010,RINAP 5 Asb. 2010,Assyria,CBS 16483 (U 03250),Royal Inscription,Q003849,Sumerian,clay,brick,Neo-Assyrian,912985,RIMB 2 B.6.32.2005,Ashurbanipal 2010,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.."
Q003850,0x02000000,rinap/rinap5,,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003850/.",668-ca. 631,Ashurbanipal 2011,RINAP 5 Asb. 2011,Assyria,CBS 16484 (U 03326),Royal Inscription,Q003850,Sumerian,clay,brick,Neo-Assyrian,912985,RIMB 2 B.6.32.2006,Ashurbanipal 2011,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0."
Q003851,0x02000000,rinap/rinap5,,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003851/.",668-ca. 631,Ashurbanipal 2012,RINAP 5 Asb. 2012,Assyria,CBS 16485 (U 03296),Royal Inscription,Q003851,Sumerian,clay,brick,Neo-Assyrian,912985,RIMB 2 B.6.32.2007,Ashurbanipal 2012,Tell Muqayyar (Ur),"[46.104748,30.961580]",Ashurbanipal,Neo-Babylonian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,"Based on Grant Frame, Rulers of Babylonia: From the Second Dynasty of Isin to the End of Assyrian Domination (1157-612 BC) (RIMB 2; Toronto, 1995). Digitized, lemmatized, and updated by Alexa Bartelmus, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0."
